sales_id,lastSalePrice,lastSaleDate
176,220000.0,2019-05-17T00:00:00.000Z
177,145000.0,2008-12-18T00:00:00.000Z
178,321000.0,2023-04-11T00:00:00.000Z
179,0.0,2006-10-31T00:00:00.000Z
180,424900.0,2019-11-06T00:00:00.000Z
181,0.0,2016-02-12T00:00:00.000Z
182,11700117.0,2020-10-26T00:00:00.000Z
183,213475.0,2005-12-08T00:00:00.000Z
184,495000.0,2000-11-13T00:00:00.000Z
185,0.0,2012-09-28T00:00:00.000Z
186,123001.0,2001-10-31T00:00:00.000Z
187,110000.0,2014-07-25T00:00:00.000Z
188,205000.0,2012-06-25T00:00:00.000Z
189,176000.0,1996-03-29T00:00:00.000Z
190,260000.0,2020-06-25T00:00:00.000Z
191,345733.0,2019-06-26T00:00:00.000Z
192,223000.0,2020-06-22T00:00:00.000Z
193,660000.0,2020-11-11T00:00:00.000Z
194,5000.0,2022-09-01T00:00:00.000Z
195,199000.0,2020-04-09T00:00:00.000Z
196,1175000.0,2005-08-09T00:00:00.000Z
197,0.0,2020-05-21T00:00:00.000Z
198,165000.0,2014-02-06T00:00:00.000Z
199,645000.0,2020-10-19T00:00:00.000Z
200,535000.0,2019-11-22T00:00:00.000Z
201,0.0,2021-07-02T00:00:00.000Z
202,225000.0,2023-06-16T00:00:00.000Z
203,184000.0,2019-04-18T00:00:00.000Z
204,620000.0,2020-04-21T00:00:00.000Z
205,0.0,2020-04-24T00:00:00.000Z
206,488000.0,2021-04-01T00:00:00.000Z
207,255000.0,2013-07-12T00:00:00.000Z
208,43500.0,2020-05-18T00:00:00.000Z
209,190297.0,2016-08-12T00:00:00.000Z
210,165000.0,1988-11-04T00:00:00.000Z
211,336000.0,2022-07-25T00:00:00.000Z
212,218250.0,2020-08-04T00:00:00.000Z
213,202875.0,2015-08-28T00:00:00.000Z
214,310000.0,2021-02-24T00:00:00.000Z
215,110000.0,2010-09-03T00:00:00.000Z
216,237940.0,2013-09-24T00:00:00.000Z
217,180000.0,2021-07-28T00:00:00.000Z
218,246000.0,2020-12-31T00:00:00.000Z
219,308500.0,2018-05-10T00:00:00.000Z
220,0.0,2022-12-22T00:00:00.000Z
221,65070.0,2017-07-20T00:00:00.000Z
222,0.0,2022-07-21T00:00:00.000Z
223,63000.0,1995-06-15T00:00:00.000Z
224,16000.0,2012-03-08T00:00:00.000Z
225,305000.0,2014-07-14T00:00:00.000Z
226,192000.0,2001-04-10T00:00:00.000Z
227,249900.0,2007-02-14T00:00:00.000Z
228,235000.0,2019-04-03T00:00:00.000Z
229,265000.0,2007-10-11T00:00:00.000Z
230,848000.0,2000-12-15T00:00:00.000Z
231,550000.0,2016-10-28T00:00:00.000Z
232,125000.0,2012-04-16T00:00:00.000Z
233,0.0,2016-06-24T00:00:00.000Z
234,0.0,2015-04-24T00:00:00.000Z
235,83000.0,1986-06-09T00:00:00.000Z
236,176529.0,2006-04-05T00:00:00.000Z
237,103000.0,2017-02-03T00:00:00.000Z
238,75000.0,2022-09-19T00:00:00.000Z
239,661761.0,2020-12-28T00:00:00.000Z
240,0.0,2022-03-14T00:00:00.000Z
241,350000.0,1999-05-14T00:00:00.000Z
242,299900.0,2020-12-09T00:00:00.000Z
243,95000.0,2012-06-25T00:00:00.000Z
244,629000.0,2007-05-07T00:00:00.000Z
245,139000.0,2016-09-14T00:00:00.000Z
246,318000.0,2019-11-08T00:00:00.000Z
247,361000.0,2021-06-30T00:00:00.000Z
248,0.0,2001-06-19T00:00:00.000Z
249,0.0,2011-04-11T00:00:00.000Z
250,455800.0,2021-04-07T00:00:00.000Z
251,1000000.0,2004-03-30T00:00:00.000Z
252,370000.0,2012-08-23T00:00:00.000Z
253,270000.0,2019-01-23T00:00:00.000Z
254,0.0,2006-08-02T00:00:00.000Z
255,0.0,2013-04-09T00:00:00.000Z
256,3500.0,2023-04-03T00:00:00.000Z
257,247300.0,2017-03-31T00:00:00.000Z
258,80000.0,2023-10-06T00:00:00.000Z
259,182000.0,2019-08-19T00:00:00.000Z
260,1525000.0,2021-12-27T00:00:00.000Z
261,225000.0,2008-01-01T00:00:00.000Z
262,201800.0,2015-08-14T00:00:00.000Z
263,585000.0,2018-04-05T00:00:00.000Z
264,390000.0,2022-06-22T00:00:00.000Z
265,212000.0,2020-05-29T00:00:00.000Z
266,0.0,2004-01-02T00:00:00.000Z
267,572500.0,2006-04-10T00:00:00.000Z
268,209333.0,2011-06-13T00:00:00.000Z
269,560000.0,2021-01-05T00:00:00.000Z
270,655000.0,2022-12-30T00:00:00.000Z
271,151000.0,2020-10-23T00:00:00.000Z
272,119700.0,2004-11-08T00:00:00.000Z
273,381565.0,2019-10-24T00:00:00.000Z
274,0.0,2018-02-09T00:00:00.000Z
275,100000.0,2020-07-31T00:00:00.000Z
276,90600.0,1992-01-01T00:00:00.000Z
277,278100.0,2016-05-01T00:00:00.000Z
278,250000.0,2014-10-31T00:00:00.000Z
279,144500.0,2004-01-12T00:00:00.000Z
280,0.0,2010-01-22T00:00:00.000Z
